antecedents,consequents,rule_text,business_meaning,support,confidence,lift,antecedent_support,consequent_support
"Limes, Organic Hass Avocado",Organic Cilantro,"Limes, Organic Hass Avocado => Organic Cilantro","Recommend Organic Cilantro when a basket contains Limes, Organic Hass Avocado (confidence=62.50%, lift=21.69).",0.005336179295624333,0.625,21.689814814814813,0.008537886872998933,0.0288153681963714
Organic Cilantro,"Limes, Organic Hass Avocado","Organic Cilantro => Limes, Organic Hass Avocado","Recommend Limes, Organic Hass Avocado when a basket contains Organic Cilantro (confidence=18.52%, lift=21.69).",0.005336179295624333,0.18518518518518517,21.689814814814813,0.0288153681963714,0.008537886872998933
Blackberries,Raspberries,Blackberries => Raspberries,"Recommend Raspberries when a basket contains Blackberries (confidence=41.67%, lift=17.75).",0.005336179295624333,0.4166666666666667,17.74621212121212,0.012806830309498399,0.023479188900747065
Raspberries,Blackberries,Raspberries => Blackberries,"Recommend Blackberries when a basket contains Raspberries (confidence=22.73%, lift=17.75).",0.005336179295624333,0.22727272727272727,17.74621212121212,0.023479188900747065,0.012806830309498399
"Limes, Organic Baby Spinach",Organic Garnet Sweet Potato (Yam),"Limes, Organic Baby Spinach => Organic Garnet Sweet Potato (Yam)","Recommend Organic Garnet Sweet Potato (Yam) when a basket contains Limes, Organic Baby Spinach (confidence=38.46%, lift=17.16).",0.005336179295624333,0.38461538461538464,17.161172161172164,0.013874066168623266,0.022411953041622197
Organic Garnet Sweet Potato (Yam),"Limes, Organic Baby Spinach","Organic Garnet Sweet Potato (Yam) => Limes, Organic Baby Spinach","Recommend Limes, Organic Baby Spinach when a basket contains Organic Garnet Sweet Potato (Yam) (confidence=23.81%, lift=17.16).",0.005336179295624333,0.2380952380952381,17.161172161172164,0.022411953041622197,0.013874066168623266
Organic Small Bunch Celery,Organic Italian Parsley Bunch,Organic Small Bunch Celery => Organic Italian Parsley Bunch,"Recommend Organic Italian Parsley Bunch when a basket contains Organic Small Bunch Celery (confidence=29.41%, lift=13.78).",0.005336179295624333,0.29411764705882354,13.779411764705882,0.01814300960512273,0.021344717182497332
Organic Italian Parsley Bunch,Organic Small Bunch Celery,Organic Italian Parsley Bunch => Organic Small Bunch Celery,"Recommend Organic Small Bunch Celery when a basket contains Organic Italian Parsley Bunch (confidence=25.00%, lift=13.78).",0.005336179295624333,0.25,13.779411764705882,0.021344717182497332,0.01814300960512273
"Organic Cilantro, Organic Hass Avocado",Limes,"Organic Cilantro, Organic Hass Avocado => Limes","Recommend Limes when a basket contains Organic Cilantro, Organic Hass Avocado (confidence=62.50%, lift=13.31).",0.005336179295624333,0.625,13.30965909090909,0.008537886872998933,0.04695837780149413
Limes,"Organic Cilantro, Organic Hass Avocado","Limes => Organic Cilantro, Organic Hass Avocado","Recommend Organic Cilantro, Organic Hass Avocado when a basket contains Limes (confidence=11.36%, lift=13.31).",0.005336179295624333,0.11363636363636363,13.30965909090909,0.04695837780149413,0.008537886872998933
